trajectory,model,loc,min,max,mean,median,std,rmse,sse
seq_03,RFR,0,0.007920531183752832,92.05089939514589,2.2600255496318695,0.5915280875196403,5.983206354426874,6.3958168958033,374785.1126316588
seq_03,RFR,1,0.19002304009276733,273.09370559446216,2.1102673048798075,1.6640315991510692,10.144985073604614,10.36214023460912,77523.9920745111
seq_03,RFR,2,0.06996548519370019,268.81195330738205,2.1866394314944833,1.175242647584478,6.088642629899973,6.469386452980048,174401.28881203337
seq_03,SVR,mapping,1.8253292577223932,95.74924139153573,22.009704446291618,12.645383560189067,22.187891784707777,31.252673992204443,1171098.8283639513
seq_03,SVR,0,1.801142900043675,95.77522609838164,20.835522494944584,11.638332160334414,21.32868757970837,29.816638165798437,8145310.373255976
seq_03,SVR,1,7.8305902284707125,256.3194596055153,13.293522657841175,10.985522276259225,10.27323179413378,16.80050702063893,203789.58010068838
seq_03,SVR,2,2.0564262265483593,250.5118240943603,20.336977158541163,10.550452175515918,24.981559742446414,32.21290063177242,4323974.919957554
seq_03,UMEYAMA,mapping,32.81969603154768,138.423377299406,67.67639504046724,54.94164906537743,29.295620441699384,73.74501896899541,6520555.059462254
seq_03,UMEYAMA,0,32.81651675209501,138.43650710445962,65.2751020212356,53.46558502307719,28.731981167673357,71.31876110605296,46601282.412404045
seq_03,UMEYAMA,1,45.00842983339478,342.36897786961447,66.55565000509958,68.82272835542852,18.67433011698015,69.12586457267108,3449994.080407707
seq_03,UMEYAMA,2,32.65077906545031,342.4840157333738,44.22145019332668,42.73379384442884,8.594611059134456,45.04890671768482,8456526.453243272
